TIME	R3:1	R3:2	R3:3	R3:4	R3:5	R3:6	R3:7	R3:8	R3:9	R3:10	R3:11	R3:12	R3:13	R3:14	
12000.00000022	0.02738751	0.01812415	0.01195579	0.00665704	0.00376284	0.00202138	0.00101562	0.01645443	0.0108043	0.00708499	0.00392061	0.00220619	0.00118064	0.00059116	
12100.00000022	0.02772737	0.01826127	0.01198721	0.00662812	0.003721	0.00198408	0.00098869	0.01655898	0.01081903	0.00705915	0.00387887	0.00216779	0.00115148	0.00057183	
12200.00000022	0.02807127	0.0183994	0.01201872	0.00659933	0.00367962	0.00194747	0.00096248	0.01666418	0.01083378	0.00703341	0.00383758	0.00213006	0.00112304	0.00055313	
12300.00000022	0.02841924	0.01853854	0.0120503	0.00657066	0.00363871	0.00191153	0.00093697	0.01677004	0.01084855	0.00700777	0.00379672	0.00209298	0.0010953	0.00053504	
12400.00000022	0.02877135	0.01867869	0.01208196	0.00654211	0.00359824	0.00187625	0.00091213	0.01687656	0.01086334	0.00698221	0.00375629	0.00205655	0.00106824	0.00051754	
12500.00000023	0.02912762	0.01881987	0.01211371	0.00651369	0.00355823	0.00184163	0.00088794	0.01698375	0.01087814	0.00695675	0.00371629	0.00202075	0.00104186	0.00050062	
12600.00000023	0.02948811	0.01896207	0.01214553	0.00648539	0.00351866	0.00180764	0.0008644	0.0170916	0.01089297	0.00693138	0.00367672	0.00198557	0.00101612	0.00048425	
12700.00000023	0.02985286	0.01910532	0.01217744	0.00645722	0.00347953	0.00177428	0.00084148	0.01720013	0.01090782	0.00690611	0.00363757	0.00195101	0.00099102	0.00046841	
12800.00000023	0.03022191	0.0192496	0.01220942	0.00642917	0.00344083	0.00174153	0.00081917	0.01730933	0.01092269	0.00688092	0.00359883	0.00191704	0.00096654	0.00045309	
12900.00000024	0.03059531	0.01939494	0.01224149	0.00640124	0.00340256	0.00170938	0.00079745	0.01741922	0.01093757	0.00685583	0.0035605	0.00188366	0.00094266	0.00043827	
13000.00000024	0.03097311	0.01954134	0.01227363	0.00637343	0.00336472	0.00167783	0.00077631	0.01752979	0.01095248	0.00683083	0.00352258	0.00185087	0.00091937	0.00042394	
13100.00000024	0.03135535	0.01968881	0.01230586	0.00634574	0.0033273	0.00164686	0.00075573	0.01764105	0.01096741	0.00680591	0.00348506	0.00181864	0.00089666	0.00041007	
13200.00000024	0.03174209	0.01983734	0.01233817	0.00631818	0.00329029	0.00161647	0.00073569	0.017753	0.01098236	0.00678109	0.00344795	0.00178698	0.00087451	0.00039666	
13300.00000024	0.03213336	0.01998696	0.01237056	0.00629073	0.00325369	0.00158663	0.00071618	0.01786565	0.01099732	0.00675636	0.00341122	0.00175586	0.0008529	0.00038369	
13400.00000025	0.03252921	0.02013767	0.01240303	0.0062634	0.0032175	0.00155734	0.00069719	0.01797901	0.01101231	0.00673172	0.00337488	0.00172529	0.00083183	0.00037114	
13500.00000025	0.0329297	0.02028947	0.01243558	0.00623619	0.00318171	0.00152859	0.0006787	0.01809307	0.01102732	0.00670716	0.00333893	0.00169524	0.00081127	0.000359	
13600.00000025	0.03333487	0.02044237	0.01246822	0.0062091	0.00314632	0.00150037	0.00066071	0.01820783	0.01104235	0.0066827	0.00330337	0.00166572	0.00079123	0.00034726	
13700.00000025	0.03374477	0.02059638	0.01250094	0.00618213	0.00311133	0.00147268	0.00064319	0.01832332	0.0110574	0.00665832	0.00326818	0.00163672	0.00077168	0.0003359	
13800.00000025	0.03415945	0.0207515	0.01253374	0.00615528	0.00307672	0.00144549	0.00062613	0.01843952	0.01107247	0.00663403	0.00323336	0.00160821	0.00075261	0.00032491	
13900.00000026	0.03457896	0.02090775	0.01256662	0.00612854	0.00304249	0.0014188	0.00060953	0.01855644	0.01108756	0.00660984	0.00319891	0.0015802	0.00073402	0.00031428	
14000.00000026	0.03500334	0.02106514	0.01259958	0.00610192	0.00300865	0.00139261	0.00059336	0.0186741	0.01110267	0.00658572	0.00316483	0.00155268	0.00071588	0.000304	
14100.00000026	0.03543266	0.02122366	0.01263263	0.00607541	0.00297518	0.0013669	0.00057763	0.01879248	0.0111178	0.0065617	0.00313111	0.00152564	0.00069819	0.00029406	
14200.00000026	0.03586695	0.02138333	0.01266576	0.00604902	0.00294208	0.00134167	0.00056231	0.0189116	0.01113295	0.00653776	0.00309775	0.00149907	0.00068094	0.00028444	
14300.00000027	0.03630627	0.02154415	0.01269898	0.00602275	0.00290935	0.0013169	0.0005474	0.01903146	0.01114812	0.00651391	0.00306474	0.00147296	0.00066411	0.00027514	
14400.00000027	0.03675068	0.02170614	0.01273228	0.00599659	0.00287699	0.00129258	0.00053288	0.01915207	0.01116331	0.00649015	0.00303209	0.0014473	0.0006477	0.00026614	
14500.00000027	0.03720021	0.02186929	0.01276566	0.00597054	0.00284498	0.00126872	0.00051875	0.01927342	0.01117852	0.00646647	0.00299978	0.00142209	0.00063169	0.00025743	
14600.00000027	0.03765493	0.02203362	0.01279912	0.0059446	0.00281333	0.00124529	0.00050499	0.01939553	0.01119375	0.00644288	0.00296781	0.00139732	0.00061608	0.00024901	
